conjunto,esquema,dobra,n_treino,n_teste,C_binaria,C_multiclasse,ridge_alpha,bin_acuracia,bin_precisao,bin_recall,bin_especificidade,bin_f1,bin_roc_auc,bin_saudaveis_no_teste,mul_acuracia_balanceada,mul_f1_macro,mul_nivel_correto,mul_erro_um_nivel,mul_erro_dois_ou_mais,reg_mae_alfa,reg_rmse_alfa,reg_r2,reg_mae_espiras,reg_vies_alfa,reg_nivel_mais_proximo_correto,conformal_meia_largura,conformal_cobertura,fora_dominio_fracao
indicadores,aleatoria,a0,204,51,1.0,0.1,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.010098723528390946,0.013890850314362376,0.9983196054661558,6.059234117034568,0.001708435216881565,1.0,,,
indicadores,aleatoria,a1,204,51,1.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.0060986409789584185,0.012333497848811806,0.9986880806430197,3.659184587375051,-0.00029346316227792075,0.9803921568627451,,,
indicadores,aleatoria,a2,204,51,1.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.007814890251310882,0.012400504163817964,0.9986433985562793,4.688934150786529,-0.00031521803839074103,1.0,,,
indicadores,aleatoria,a3,204,51,1.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.00831772745587523,0.013195235934606923,0.9984591094126849,4.9906364735251385,-0.0005216693173181235,1.0,,,
indicadores,aleatoria,a4,204,51,1.0,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.01077775598774452,0.014433565841662284,0.9981358004562702,6.466653592646712,-0.00154901223037824,1.0,,,
indicadores,blocos,b0,190,56,0.1,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.010146007038911817,0.01508567262963683,0.9979911592125368,6.08760422334709,-0.003046582562849509,1.0,0.02237950044236703,0.9464285714285714,0.0
indicadores,blocos,b1,185,52,0.1,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.006757042857292021,0.009444892720076443,0.9992330865718461,4.054225714375212,-0.0014440168076616058,1.0,0.027187282229898108,0.9807692307692307,0.0
indicadores,blocos,b2,188,49,0.1,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.008484440257808997,0.010670821613756992,0.9989926389646855,5.090664154685398,-0.003433281726431888,1.0,0.025314845243245343,0.9795918367346939,0.0
indicadores,blocos,b3,188,49,1.0,0.01,1.0,0.9795918367346939,0.9782608695652174,1.0,0.75,0.989010989010989,0.9944444444444445,4,1.0,1.0,1.0,0.0,0.0,0.018429006080803095,0.042498506936707994,0.984021471778882,11.057403648481857,0.010164292184516486,0.9591836734693877,0.021674835688371502,0.8367346938775511,0.08163265306122448
indicadores,blocos,b4,197,49,0.1,0.01,0.1,0.9795918367346939,1.0,0.9777777777777777,1.0,0.9887640449438202,1.0,4,1.0,1.0,1.0,0.0,0.0,0.011984394791584758,0.01728711050019539,0.9973561656255168,7.190636874950855,0.0008453653845329417,1.0,0.020146263724094754,0.7755102040816326,0.04081632653061224
mobilenet,aleatoria,a0,204,51,0.01,0.01,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.011706231115690241,0.01605697908761173,0.9977546643040086,7.023738669414144,0.0027643186204573656,1.0,,,
mobilenet,aleatoria,a1,204,51,0.01,0.01,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.010035705605363538,0.01303549006096023,0.9985344881283755,6.021423363218123,-0.0040470211724050725,1.0,,,
mobilenet,aleatoria,a2,204,51,0.01,0.01,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.01105351233794019,0.01714583358098936,0.9974064728535569,6.632107402764114,-0.0010847441121643706,1.0,,,
mobilenet,aleatoria,a3,204,51,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.010549617943420908,0.014806713338065266,0.9980597628349833,6.329770766052545,0.0026607974292406035,0.9803921568627451,,,
mobilenet,aleatoria,a4,204,51,0.01,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.00909549227727005,0.012803246422812716,0.9985331512645982,5.457295366362031,7.964618065777544e-05,1.0,,,
mobilenet,blocos,b0,190,56,0.01,0.1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.911111111111111,0.898148148148148,0.9285714285714286,0.07142857142857142,0.0,0.012100459670736679,0.018725969444233985,0.9969046855114645,7.260275802442007,-0.0045409122038455275,0.9642857142857143,0.03256722489992778,0.9642857142857143,0.0
mobilenet,blocos,b1,185,52,0.01,0.01,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.008698036846442105,0.012604424073402827,0.9986341648148094,5.218822107865263,0.0023790952104788517,1.0,0.03823368549346928,0.9807692307692307,0.0
mobilenet,blocos,b2,188,49,0.01,0.1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.01157315053096434,0.014516646473603902,0.9981356732552081,6.943890318578603,0.0017470062184495956,1.0,0.03248274326324463,0.9795918367346939,0.0
mobilenet,blocos,b3,188,49,0.01,0.01,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.015880092877109037,0.022297274728936584,0.9956016174589624,9.528055726265421,-0.0007979199188907165,1.0,0.030214468638102177,0.8367346938775511,0.10204081632653061
mobilenet,blocos,b4,197,49,0.01,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.018931072666531514,0.02541642401872685,0.9942849725184548,11.358643599918908,0.002396183516703492,0.9387755102040817,0.027028699715932247,0.7346938775510204,0.08163265306122448
dinov2,aleatoria,a0,204,51,0.01,0.01,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.01278297406396056,0.017465453115220693,0.9973434786430655,7.669784438376336,5.532491440866192e-05,1.0,,,
dinov2,aleatoria,a1,204,51,0.01,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.02060399725546245,0.02784631252784528,0.9933124044318793,12.362398353277468,-0.007084531721725966,0.9607843137254902,,,
dinov2,aleatoria,a2,204,51,0.01,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.013875569120731224,0.018899812759676192,0.9968487083901236,8.325341472438735,0.00674387835988811,0.9607843137254902,,,
dinov2,aleatoria,a3,204,51,0.01,0.1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9777777777777779,0.9775533108866442,0.9803921568627451,0.0196078431372549,0.0,0.012950540679732177,0.016107124460061902,0.9977039913950867,7.770324407839306,-0.002852213226891814,1.0,,,
dinov2,aleatoria,a4,204,51,0.01,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9592592592592593,0.9590347923681257,0.9607843137254902,0.0196078431372549,0.0196078431372549,0.014848800928764094,0.01957223509461537,0.9965721171644139,8.909280557258457,-0.0030626908236858932,0.9607843137254902,,,
dinov2,blocos,b0,190,56,0.01,0.1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.9333333333333333,0.9301587301587302,0.9464285714285714,0.05357142857142857,0.0,0.01775220118108249,0.02347571213652167,0.9951353263490849,10.651320708649495,-0.002925870070854827,1.0,0.0477736115455627,0.9821428571428571,0.03571428571428571
dinov2,blocos,b1,185,52,0.01,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.016139125976807025,0.020622735718274752,0.9963436746294522,9.683475586084215,-0.0004538327455520674,0.9807692307692307,0.04675011237462362,0.9807692307692307,0.0
dinov2,blocos,b2,188,49,0.01,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.015334115020271873,0.02061820527999193,0.9962391055305879,9.200469012163124,0.006069213314121269,1.0,0.041867613792419434,0.9591836734693877,0.0
