conjunto,regressor,campanha_retirada,tipo,condicao,alfa_real,n_teste,alfa_previsto_medio,mae_espiras,vies_espiras,fora_dominio_fracao
mobilenet|ridge,ridge,C,interpolacao,SC240,0.4,26,0.39591294527053833,10.38050995423244,-2.452240402881929,1.0
mobilenet|ridge,ridge,C,interpolacao,SC320,0.5333333333333333,26,0.48767104744911194,27.397359151106606,-27.397359151106606,1.0
mobilenet|ridge,ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.6098932027816772,34.064075469970675,-34.064075469970675,1.0
mobilenet|ridge,ridge,D,extrapolacao,SC480,0.8,27,0.6804406642913818,71.735577583313,-71.735577583313,1.0
mobilenet|ridge,ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.6905982494354248,145.64104810357094,-145.64104810357094,1.0
mobilenet|ridge,ridge,D,extrapolacao,SC600,1.0,40,0.6753181219100952,194.80911701917648,-194.80911701917648,1.0
mobilenet|pls,pls,A,extrapolacao,Healthy,0.0,22,0.26745760642007405,160.47456385204444,160.47456385204444,1.0
mobilenet|pls,pls,B,interpolacao,SC80,0.13333333333333333,26,0.054481334076345686,47.3111995541926,-47.3111995541926,1.0
mobilenet|pls,pls,B,interpolacao,SC160,0.26666666666666666,31,0.2026245443673684,38.42527337957895,-38.42527337957895,1.0
mobilenet|pls,pls,C,interpolacao,SC240,0.4,26,0.4117243146713684,15.795133889420839,7.034588802821022,1.0
mobilenet|pls,pls,C,interpolacao,SC320,0.5333333333333333,26,0.4944550551184929,25.97249051385189,-23.326966928904262,1.0
mobilenet|pls,pls,D,extrapolacao,SC400,0.6666666666666666,25,0.6058764627656398,36.47412234061617,-36.47412234061617,1.0
mobilenet|pls,pls,D,extrapolacao,SC480,0.8,27,0.7005875375382663,59.647477477040304,-59.647477477040304,1.0
mobilenet|pls,pls,D,extrapolacao,SC560,0.9333333333333333,32,0.7143631202330691,131.38212786015853,-131.38212786015853,1.0
mobilenet|pls,pls,D,extrapolacao,SC600,1.0,40,0.7010590123415368,179.36459259507797,-179.36459259507797,1.0
mobilenet|pca_ridge,pca_ridge,A,extrapolacao,Healthy,0.0,22,0.2552530765533447,153.1518670645627,153.1518670645627,1.0
mobilenet|pca_ridge,pca_ridge,B,interpolacao,SC80,0.13333333333333333,26,0.022781457751989365,66.33112586461581,-66.33112586461581,1.0
mobilenet|pca_ridge,pca_ridge,B,interpolacao,SC160,0.26666666666666666,31,0.17561064660549164,54.633614055572004,-54.633614055572004,1.0
mobilenet|pca_ridge,pca_ridge,C,interpolacao,SC240,0.4,26,0.4149559736251831,15.110991597175593,8.97359449129837,1.0
mobilenet|pca_ridge,pca_ridge,C,interpolacao,SC320,0.5333333333333333,26,0.49753159284591675,22.77354836463928,-21.48102366007291,1.0
mobilenet|pca_ridge,pca_ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.6361814737319946,18.699506282806375,-18.29110860824583,1.0
mobilenet|pca_ridge,pca_ridge,D,extrapolacao,SC480,0.8,27,0.6442749500274658,93.43503660625882,-93.43503660625882,1.0
mobilenet|pca_ridge,pca_ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.6393731832504272,176.37610681355,-176.37610681355,1.0
mobilenet|pca_ridge,pca_ridge,D,extrapolacao,SC600,1.0,40,0.620263934135437,227.84165292978287,-227.84165292978287,1.0
mobilenet|kernel_ridge,kernel_ridge,A,extrapolacao,Healthy,0.0,22,0.11301338641109583,67.8080318466575,67.8080318466575,1.0
mobilenet|kernel_ridge,kernel_ridge,B,interpolacao,SC80,0.13333333333333333,26,0.00792695330874199,75.24382801475481,-75.24382801475481,1.0
mobilenet|kernel_ridge,kernel_ridge,B,interpolacao,SC160,0.26666666666666666,31,0.06674387155420086,119.95367706747948,-119.95367706747948,1.0
mobilenet|kernel_ridge,kernel_ridge,C,interpolacao,SC240,0.4,26,0.21205470387716904,112.76717767369863,-112.76717767369863,1.0
mobilenet|kernel_ridge,kernel_ridge,C,interpolacao,SC320,0.5333333333333333,26,0.30985117799621953,134.08929320226827,-134.08929320226827,1.0
mobilenet|kernel_ridge,kernel_ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.08060288429141518,351.6382694251509,-351.6382694251509,1.0
mobilenet|kernel_ridge,kernel_ridge,D,extrapolacao,SC480,0.8,27,0.007793552584090514,475.3238684495456,-475.3238684495456,1.0
mobilenet|kernel_ridge,kernel_ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.00014022993526159022,559.9158620388431,-559.9158620388431,1.0
mobilenet|kernel_ridge,kernel_ridge,D,extrapolacao,SC600,1.0,40,2.394498284368567e-05,599.9856330102938,-599.9856330102938,1.0
mobilenet|svr,svr,A,extrapolacao,Healthy,0.0,22,0.46014167583124477,276.08500549874685,276.08500549874685,1.0
mobilenet|svr,svr,B,interpolacao,SC80,0.13333333333333333,26,0.45434529573160265,192.6071774389616,192.6071774389616,1.0
mobilenet|svr,svr,B,interpolacao,SC160,0.26666666666666666,31,0.474147185619712,124.48831137182714,124.48831137182714,1.0
mobilenet|svr,svr,C,interpolacao,SC240,0.4,26,0.4935009410353098,56.10056462118583,56.10056462118583,1.0
mobilenet|svr,svr,C,interpolacao,SC320,0.5333333333333333,26,0.5303380964922773,6.213681396059634,-1.7971421046336167,1.0
mobilenet|svr,svr,D,extrapolacao,SC400,0.6666666666666666,25,0.3269242475072663,203.84545149564022,-203.84545149564022,1.0
mobilenet|svr,svr,D,extrapolacao,SC480,0.8,27,0.2916876668767037,304.9873998739778,-304.9873998739778,1.0
mobilenet|svr,svr,D,extrapolacao,SC560,0.9333333333333333,32,0.28804381894608166,387.173708632351,-387.173708632351,1.0
mobilenet|svr,svr,D,extrapolacao,SC600,1.0,40,0.2879910111193915,427.205393328365,-427.205393328365,1.0
mobilenet|gp,gp,A,extrapolacao,Healthy,0.0,22,0.32261713414561227,193.57028048736737,193.57028048736737,1.0
mobilenet|gp,gp,B,interpolacao,SC80,0.13333333333333333,26,0.13549965428989832,9.499609798651667,1.2997925739389895,1.0
mobilenet|gp,gp,B,interpolacao,SC160,0.26666666666666666,31,0.23179408644577085,22.3013861872134,-20.923548132537498,1.0
mobilenet|gp,gp,C,interpolacao,SC240,0.4,26,0.501479563222817,60.88773793369014,60.88773793369014,1.0
mobilenet|gp,gp,C,interpolacao,SC320,0.5333333333333333,26,0.5761238619726556,25.674317183593423,25.674317183593423,1.0
mobilenet|gp,gp,D,extrapolacao,SC400,0.6666666666666666,25,0.5440947505538124,73.54314966771257,-73.54314966771257,1.0
mobilenet|gp,gp,D,extrapolacao,SC480,0.8,27,0.5306466714684654,161.61199711892075,-161.61199711892075,1.0
mobilenet|gp,gp,D,extrapolacao,SC560,0.9333333333333333,32,0.465516648094499,280.69001114330064,-280.69001114330064,1.0
mobilenet|gp,gp,D,extrapolacao,SC600,1.0,40,0.4292300422221881,342.4619746666871,-342.4619746666871,1.0
dinov2|ridge,ridge,A,extrapolacao,Healthy,0.0,22,0.2923162281513214,175.3897352652116,175.3897352652116,1.0
dinov2|ridge,ridge,B,interpolacao,SC80,0.13333333333333333,26,0.11130202561616898,23.576030318553634,-13.218780159950253,1.0
dinov2|ridge,ridge,B,interpolacao,SC160,0.26666666666666666,31,0.25725677609443665,23.370584710951782,-5.6459493406357275,1.0
dinov2|ridge,ridge,C,interpolacao,SC240,0.4,26,0.5235006213188171,74.10035422215094,74.10035422215094,0.3076923076923077
dinov2|ridge,ridge,C,interpolacao,SC320,0.5333333333333333,26,0.6004475355148315,40.26853231283335,40.26853231283335,0.11538461538461539
dinov2|ridge,ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.5298793911933899,82.07235240936278,-82.07235240936278,0.28
dinov2|ridge,ridge,D,extrapolacao,SC480,0.8,27,0.5488846898078918,150.66916624705,-150.66916624705,0.0
dinov2|ridge,ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.5582870244979858,225.02777244895697,-225.02777244895697,0.53125
